Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,22.485727787017822,17.45020294189453
Irregular Plural,geese,protector,33.76093101501465,15.523384094238281
Regular Singular,swan,protector,26.89234733581543,13.183859825134277
Regular Plural,swans,protector,20.985061645507812,14.427129745483398
Irregular Singular,goose,trader,22.485727787017822,15.900646209716797
Irregular Plural,geese,trader,33.76093101501465,12.998943328857422
Regular Singular,swan,trader,26.89234733581543,14.806601524353027
Regular Plural,swans,trader,20.985061645507812,14.529991149902344
Irregular Singular,goose,tracker,22.485729217529297,20.271623611450195
Irregular Plural,geese,tracker,33.760921478271484,14.753824710845947
Regular Singular,swan,tracker,26.89234161376953,16.840961456298828
Regular Plural,swans,tracker,20.985055923461914,17.059206008911133
Irregular Singular,goose,expert,22.485727787017822,10.783002853393555
Irregular Plural,geese,expert,33.76093101501465,8.542451858520508
Regular Singular,swan,expert,26.89234733581543,11.448357582092285
Regular Plural,swans,expert,20.985061645507812,7.270442962646484
Irregular Singular,ox,register,13.309142112731934,13.057180404663086
Irregular Plural,oxen,register,23.40115737915039,15.076698303222656
Regular Singular,cow,register,10.719523429870605,13.74935531616211
Regular Plural,cows,register,32.12261772155762,13.784589767456055
Irregular Singular,ox,trader,13.309142112731934,17.398265838623047
Irregular Plural,oxen,trader,23.40115737915039,15.974367141723633
Regular Singular,cow,trader,10.719523429870605,12.957056045532227
Regular Plural,cows,trader,32.12261772155762,14.2318115234375
Irregular Singular,ox,tracker,13.309142112731934,15.415794372558594
Irregular Plural,oxen,tracker,23.40115261077881,15.517187118530273
Regular Singular,cow,tracker,10.719523429870605,18.886591911315918
Regular Plural,cows,tracker,32.122612953186035,17.792633056640625
Irregular Singular,ox,finder,13.309142112731934,10.875942468643188
Irregular Plural,oxen,finder,23.40115261077881,12.702244758605957
Regular Singular,cow,finder,10.719523429870605,16.557958602905273
Regular Plural,cows,finder,32.122612953186035,18.094849109649658
Irregular Singular,louse,issue,19.961955070495605,7.392560005187988
Irregular Plural,lice,issue,19.440597534179688,10.19906997680664
Regular Singular,flea,issue,26.594799995422363,11.858515739440918
Regular Plural,fleas,issue,24.0474910736084,13.255151748657227
Irregular Singular,louse,trader,19.961955070495605,13.765380859375
Irregular Plural,lice,trader,19.440597534179688,14.332205772399902
Regular Singular,flea,trader,26.594799995422363,14.033552169799805
Regular Plural,fleas,trader,24.0474910736084,11.722323417663574
Irregular Singular,louse,tracker,19.961952209472656,12.874773025512695
Irregular Plural,lice,tracker,19.44059658050537,25.418333053588867
Regular Singular,flea,tracker,26.594799041748047,14.253082513809204
Regular Plural,fleas,tracker,24.047493934631348,19.002646446228027
Irregular Singular,louse,expert,19.961955070495605,13.428129196166992
Irregular Plural,lice,expert,19.440597534179688,10.628247261047363
Regular Singular,flea,expert,26.594799995422363,12.178058624267578
Regular Plural,fleas,expert,24.0474910736084,10.824320793151855
Irregular Singular,mouse,issue,16.423078536987305,11.625665664672852
Irregular Plural,mice,issue,18.15518569946289,10.102546691894531
Regular Singular,rat,issue,11.759700775146484,12.324631690979004
Regular Plural,rats,issue,26.496286392211914,9.326992988586426
